Name of student,Computer,English,Maths,Programming,Discrete
Ayesha,78.0,80.0,75.0,83.0,79.0
Ali,85.0,72.0,82.0,91.0,84.0
Amna,90.0,95.0,91.0,94.0,93.0
Subhan,,88.0,85.0,87.0,86.0
Tabish,67.0,76.0,,71.0,69.0
Fatima,56.0,,61.0,66.0,63.0
Eliyah,44.0,58.0,51.0,49.0,48.0
Eshal,93.0,91.0,90.0,,90.0
Shahroz,150.0,69.0,73.0,78.0,76.0
Shahrif,81.0,84.0,80.0,86.0,83.0
Sara,74.0,73.0,69.0,74.0,72.0
Sana,60.0,65.0,67.0,68.0,64.0
Ayan,35.0,40.0,38.0,39.0,36.0
Kainat,49.0,53.0,50.0,51.0,47.0
Iqra,71.0,72.0,75.0,77.0,74.0
Areeba,89.0,91.0,88.0,92.0,90.0
Hamza,95.0,86.0,93.0,94.0,95.0
Hina,63.0,61.0,65.0,62.0,
Bilal,-5.0,57.0,56.0,58.0,55.0
Ayesha,78.0,80.0,75.0,83.0,79.0
Bilal,-5.0,57.0,56.0,58.0,55.0
Anaya,84.0,82.0,85.0,86.0,83.0
Saba,,75.0,79.0,81.0,78.0
Sobia,52.0,,48.0,49.0,50.0
Anaya,84.0,82.0,85.0,86.0,83.0
Abdullah,79.0,77.0,80.0,82.0,81.0
Kamran,88.0,89.0,87.0,90.0,89.0
Talha,72.0,70.0,74.0,76.0,75.0
Zayam,65.0,68.0,66.0,67.0,69.0
Shehzad,91.0,92.0,105.0,-20.0,88.0
